AreaManagerId,FareCalculationCode,StartDateFarePart,StartDurationFarePart,EndDurationFarePart,AmountFarePart,StepSizeFarePart,EndDateFarePart,AmountCumulative
80,GAR06,20131126,60,999999,0.50000000,60,20140101,2.00000000
2460,GAR11,20131112,0,999999,5.00000000,60,29991231,0.00000000
58,TAR07,20120906,60,999999,0.01555556,1,20140101,0.10000000
361,REG14,20200201,0,999999,0.04783333,1,29991231,0.00000000
855,TAR07,20140325,30,60,0.50000000,30,29991231,0.50000000
361,REG12,20200201,0,60,0.00000000,1,29991231,0.00000000
1729,TAR04,20131024,0,999999,0.00000000,1440,29991231,0.00000000
513,GARSTATDKW,20200714,0,999999,5.00000000,1440,29991231,0.00000000
200,GAR13,20170201,0,999999,55.20000000,720,20170203,0.00000000
80,GAR05,20131126,0,999999,3.00000000,1440,20140101,0.00000000
2449,GAR19,20131107,120,999999,2.50000000,60,29991231,2.50000000
361,REG05,20200201,108,999999,0.00000000,240,29991231,3.52800036
361,REG05,20190201,108,999999,0.00000000,240,20200201,3.43799964
2460,GAR19,20131112,0,20,0.60000000,20,29991231,0.00000000
1525,TAR01,20121016,0,999999,0.00000000,60,29991231,0.00000000
361,REG08,20130501,0,999999,0.04250000,1,20140201,0.00000000
2448,TER06,20141118,0,200,0.50000000,25,29991231,0.00000000
361,REG02,20200201,0,999999,0.04783333,1,29991231,0.00000000
267,TAR00,20140724,0,999999,0.00000000,1,29991231,0.00000000
353,TAR01,20130125,0,30,0.00666667,1,20140331,0.00000000
2459,GAR30,20131112,120,999999,0.50000000,30,29991231,0.00000000
361,REG10,20190201,0,999999,0.04650000,1,20200201,0.00000000
855,TAR06,20131230,0,999999,0.02833333,1,20140501,0.00000000
200,GAR04,20170201,0,999999,0.50133333,16,29991231,0.00000000
361,REG03,20200201,0,999999,0.04783333,1,29991231,0.00000000
553,GAR01,20131016,0,999999,0.00000000,780,29991231,0.00000000
758,GAR04,20130926,0,999999,14.00000000,1440,29991231,0.00000000
74,UURTARIEF,20140715,0,175,0.02000000,1,29991231,0.00000000
377,DAG01,20181224,0,999999,20.80000000,840,20200117,0.00000000
80,GAR08,20131126,0,999999,2.50000000,660,20140101,0.00000000
307,TAR03,20120928,0,999999,0.02166667,1,29991231,0.00000000
200,TAR07,20190101,0,999999,0.00733333,1,29991231,0.00000000
2451,TAR01,20130917,0,30,2.00000000,30,29991231,0.00000000
200,TAR01,20190101,0,999999,0.04433333,1,29991231,0.00000000
855,TAR07,20140325,60,999999,0.00000000,900,29991231,1.00000000
200,GAR02,20140101,0,999999,0.50000000,14,20170201,0.00000000
715,TAR01,20120404,0,999999,0.12000000,6,20130101,0.00000000
981,TAR01,20120830,0,999999,0.10000000,5,29991231,0.00000000
153,TAR5,20180101,0,300,0.04833333,1,20190101,0.00000000
935,DAG02,20121019,0,999999,6.00000000,1440,20130312,0.00000000
114,TAR02,20120518,0,999999,0.11724138,4,20140722,0.00000000
268,DAG02,20140101,0,999999,12.30000000,1440,20141022,0.00000000
74,TAR2,20130308,240,999999,2.50000000,480,20140715,3.50000000
513,GARSTAT,20200714,0,999999,2.00000000,60,29991231,0.00000000
855,TAR15,20170403,0,999999,0.00458333,1,20191015,0.00000000
150,TAR03,20121218,30,999999,0.06666667,1,20140101,0.99999990
2062,GAR26,20131105,0,999999,16.00000000,1440,29991231,0.00000000
575,TAR02,20131024,120,999999,2.00000000,60,29991231,2.00000000
439,TAR01,20131125,0,999999,0.03333333,1,20191101,0.00000000
546,GAR03,20131008,0,120,0.50000000,15,29991231,0.00000000
262,NULL,20121109,0,999999,0.00000000,60,29991231,0.00000000
200,GAR01,20150701,0,999999,0.04545455,1,20170201,0.00000000
373,DAGKAART10,20140102,0,999999,10.00000000,540,29991231,0.00000000
603,603_TAR01,20140101,0,999999,0.02500000,1,29991231,0.00000000
153,TAR2,20180101,120,999999,0.00000000,1,20190101,5.79999960
1961,4UUR,20190101,0,999999,1.80000000,240,29991231,0.00000000
983,GAR04,20131003,0,999999,4.50000000,780,20140101,0.00000000
856,TAR01,20131017,0,999999,0.80000000,60,29991231,0.00000000
90,GAR05,20200714,0,999999,1.50000000,60,29991231,0.00000000
166,TAR04,20130101,0,999999,5.40000000,780,20140101,0.00000000
2062,GAR34,20131105,0,999999,6.90000000,1440,29991231,0.00000000
2450,DAGK20E,20130916,0,999999,20.00000000,1440,29991231,0.00000000
200,GAR11,20170201,0,999999,0.01430556,1,20170220,0.00000000
439,TAR02,20131126,0,999999,0.03333333,1,20191101,0.00000000
439,MAGNOLIAST,20131126,0,999999,0.03333333,1,20191101,0.00000000
439,DAG01,20131125,0,999999,6.90000000,720,20191101,0.00000000
2461,GAR04,20131114,0,999999,12.00000000,1440,29991231,0.00000000
1684,TAR01,20120301,0,999999,0.10000000,12,29991231,0.00000000
505,GAR11,20131218,0,999999,13.00000000,1440,29991231,0.00000000
200,GAR04,20140101,0,999999,0.50000000,17,20170201,0.00000000
164,TAR06,20120206,0,999999,5.20000000,1440,20130101,0.00000000
439,TAR02,20191101,0,999999,0.04166667,1,29991231,0.00000000
200,GAR04,20131212,0,999999,0.50433333,17,20140101,0.00000000
439,TAR01,20191101,0,999999,0.04166667,1,29991231,0.00000000
153,TAR5,20180101,300,999999,0.00000000,1,20190101,14.49999900
200,TAR03,20180101,0,999999,14.44000000,1440,20190101,0.00000000
352,TAR01,20121005,0,999999,0.00000000,1,29991231,0.00000000
439,MAGNOLIAST,20191101,0,999999,0.04166667,1,29991231,0.00000000
200,GAR11,20150701,0,999999,10.00000000,720,20170201,0.00000000
439,DAG01,20191101,0,999999,7.50000000,720,29991231,0.00000000
505,GAR07,20131218,0,999999,2.10000000,60,20200714,0.00000000
505,TARVRIJ,20130320,0,999999,0.00000000,1,29991231,0.00000000
545,TAR02,20121010,0,6,0.30000000,6,29991231,0.00000000
1708,TAR03,20131018,0,999999,4.00000000,780,29991231,0.00000000
861,NULL,20120327,0,999999,0.00000000,1,29991231,0.00000000
717,TAR02,20121016,0,999999,0.02166667,1,20140313,0.00000000
17,TAR01,20141105,0,999999,0.02000000,1,20191028,0.00000000
448,TAR02,20190101,0,999999,10.00000000,720,29991231,0.00000000
2449,GAR36,20131108,10,60,0.60000000,10,20140901,1.00000000
2462,TER13,20131114,20,30,0.50000000,10,29991231,0.00000000
17,GAR01,20131008,0,999999,0.60000000,30,20191028,0.00000000
1961,2UUR,20190101,0,999999,1.50000000,120,29991231,0.00000000
177,REG02,20120501,0,999999,0.10000000,8,20120502,0.00000000
2459,GAR26,20131112,90,150,0.50000000,60,29991231,0.50000000
200,TAR03,20190101,0,999999,14.85000000,1440,29991231,0.00000000
200,GAR06,20131212,0,999999,0.50433333,34,20140101,0.00000000
1961,GRATIS,20190101,0,999999,0.00000000,1,29991231,0.00000000
344,AVK01,20140101,0,999999,15.46020000,360,20150101,0.00000000
2449,GAR06,20131107,5,999999,0.50000000,15,20140901,0.00000000
200,TAR05,20180101,0,999999,0.04300000,1,20190101,0.00000000
193,TER02,20131009,0,999999,5.40000000,720,29991231,0.00000000
58,TAR07,20120906,0,60,0.10000000,60,20140101,0.00000000
362,TAR05,20190624,0,999999,0.00416667,1,20191108,0.00000000
2449,GAR06,20131107,0,5,0.00000000,5,20140901,0.00000000
402,TAR02,20120222,0,999999,0.04333333,1,29991231,0.00000000
200,TAR06,20190101,0,999999,14.10000000,1440,29991231,0.00000000
362,TAR05,20191108,0,1,0.10000000,1,29991231,0.00000000
405,TAR03,20131018,0,999999,2.10000000,60,20140101,0.00000000
80,GAR01,20131126,120,180,1.00000000,60,20140101,3.00000000
362,TAR02,20191108,0,1,0.20000000,1,29991231,0.00000000
984,TER01,20131122,0,999999,1.00000000,47,29991231,0.00000000
2449,GAR18,20131107,15,999999,0.30000000,15,29991231,0.00000000
505,GAR08,20131218,0,999999,21.00000000,1440,20200714,0.00000000
2062,GAR18,20131030,150,999999,0.50000000,30,29991231,1.00000000
200,GAR12,20170201,0,999999,0.01222222,1,20170220,0.00000000
362,TAR02,20160928,60,999999,0.01750000,1,20191108,1.04999984
362,TAR02,20191108,60,999999,0.01750000,1,29991231,1.05000002
200,TAR04,20180101,0,999999,0.03583333,1,20190101,0.00000000
362,TAR05,20191108,1,60,0.00254237,1,29991231,0.10000000
200,GAR08,20140101,0,999999,13.10000000,720,20170201,0.00000000
718,GAR02,20131009,18,999999,1.70000000,60,20140101,0.50000000
2460,GAR13,20131112,120,999999,4.50000000,60,29991231,0.00000000
2449,GAR44,20140901,0,999999,31.00000000,1440,29991231,0.00000000
362,TAR02,20191108,1,60,0.01440678,1,29991231,0.20000000
200,TAR01,20180101,0,999999,0.04300000,1,20190101,0.00000000
505,GAR08,20200714,0,999999,23.00000000,1440,29991231,0.00000000
777,E,20130716,0,999999,0.02333333,1,20130903,0.00000000
362,TAR02,20160928,12,60,0.01770833,1,20191108,0.20000000
394,NVP_NS,20130627,0,540,0.00000000,1,20130730,0.00000000
2462,TER03,20131114,0,20,0.00000000,20,29991231,0.00000000
173,TAR03,20120516,0,999999,3.60000000,720,20120717,0.00000000
546,GAR03,20131008,180,999999,0.50000000,15,29991231,4.00000000
715,NULL,20120404,0,999999,0.00000000,1,29991231,0.00000000
200,GAR09,20170201,0,999999,0.01555556,1,20170220,0.00000000
362,TAR02,20160928,0,12,0.20000000,12,20191108,0.00000000
2448,935_GAR03,20140101,182,999999,2.00000000,60,29991231,4.20000000
362,TAR05,20191108,60,999999,0.00416667,1,29991231,0.24999983
2449,GAR17,20131107,0,999999,11.00000000,1440,29991231,0.00000000
545,DAG02,20121010,0,999999,3.00000000,720,29991231,0.00000000
361,REG16,20190822,168,999999,0.00000000,240,20200201,3.43799964
363,TC7,20120101,0,999999,0.02170000,1,20120114,0.00000000
361,REG15,20200201,0,108,0.03266667,1,29991231,0.00000000
203,TAR01,20120905,0,999999,0.03000000,1,20130101,0.00000000
